mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_classifier__norm,param_tfidf__max_features,param_tfidf__min_df,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.4498390356699626,0.05761901920951922,0.29538718859354657,0.0006827009703323556,0.1,False,10000,1,"{'classifier__alpha': 0.1, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.5756960160369676,0.5672366201176441,0.5749690323872716,0.5726338895139611,0.0038279684785402415,21
1.3975319067637126,0.04614587139747883,0.29381736119588214,0.012649182413026058,0.1,False,10000,2,"{'classifier__alpha': 0.1, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.573783484393268,0.5668562636879718,0.5741601064915328,0.5715999515242576,0.0033578159337401834,22
1.4704827467600505,0.06094469785951812,0.30484739939371747,0.013426654202446184,0.5,False,10000,1,"{'classifier__alpha': 0.5, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 1}",0.5718798052762448,0.5666652644978544,0.5665945769079049,0.5683798822273346,0.002474987568327353,23
1.5447205702463787,0.08070163517529741,0.30735111236572266,0.01246331161009165,0.5,False,10000,2,"{'classifier__alpha': 0.5, 'classifier__norm': False, 'tfidf__max_features': 10000, 'tfidf__min_df': 2}",0.5704407560329559,0.5656737726905305,0.565683600180901,0.5672660429681291,0.002244864721667034,24
1.0385856628417969,0.5998086228319122,0.2906503677368164,0.011430050109906525,0.01,False,5000,1,"{'classifier__alpha': 0.01, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.5632624319334257,0.5646415136823987,0.5670069104982619,0.5649702853713622,0.001546253116025379,25
1.4245338439941406,0.03738262705800076,0.28309909502665204,0.007583131457964188,0.01,False,5000,2,"{'classifier__alpha': 0.01, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.561773140798622,0.5638332826180331,0.5652258159773584,0.5636107464646711,0.0014183049101258412,26
1.3635605176289876,0.04399792220743044,0.28150391578674316,0.008801769762638863,0.05,False,5000,1,"{'classifier__alpha': 0.05, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.5614333923797306,0.5610433310386661,0.564725511442295,0.5624007449535638,0.0016515530837757173,27
1.4576575756072998,0.047334297258896735,0.28151996930440265,0.020107377973351753,0.05,False,5000,2,"{'classifier__alpha': 0.05, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.5598866128436635,0.5603142924167779,0.562768750380984,0.5609898852138084,0.0012699077175284841,28
1.4260432720184326,0.04403032354705388,0.29445981979370117,0.011467873762493806,0.1,False,5000,1,"{'classifier__alpha': 0.1, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.5589252127961758,0.5593550908663681,0.5625362384880722,0.560272180716872,0.0016105210300410991,29
1.0926905473073323,0.5798218591363118,0.2976796627044678,0.003615725944121136,0.1,False,5000,2,"{'classifier__alpha': 0.1, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.5591399465394686,0.558550577779499,0.5609730286283008,0.5595545176490895,0.001031493717031858,30
1.4396978219350178,0.051829246628874816,0.2866157690684001,0.00971336811137748,0.5,False,5000,1,"{'classifier__alpha': 0.5, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 1}",0.5562142202659373,0.5562688608629115,0.5600719196963583,0.5575183336084023,0.0018057958227442731,31
1.4667904376983643,0.06205610195014749,0.27320607503255206,0.008842794067727458,0.5,False,5000,2,"{'classifier__alpha': 0.5, 'classifier__norm': False, 'tfidf__max_features': 5000, 'tfidf__min_df': 2}",0.5570379099355902,0.5545149440405936,0.5576794578192978,0.5564107705984939,0.0013658976718632996,32
